,Address,Area,City,HomeType,isNew,Latitude,Longitude,PostalCode,Price,ID,PaymentOnAccount,DistanceToShopping,DistanceToTransportation,DistanceToSchool,DistanceToForest,DistanceToWater,Balcony,Floors,Rooms,Toilets,Connection,LivingArea,YearOfConstruction,EstateValue,EnergyRating,Level,GroundArea,LandValue,Sewers,Basement,PriceDevelopment,Accessories,Heating,Windows,YearOfValuation,Exterior,NetOwnerFee,GrossOwnerFee
25121,"Præstevænget 14, Fjelstrup",104.0,Haderslev,Villa,False,55.320930849837296,9.5651646101522,6100,695.000 ,719-02986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25122,"Solbæk 33, Hejsager",51.0,Haderslev,Fritidshus,False,55.1962282759225,9.5996530352921,6100,1.375.000 ,719-03002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25123,Kongevej 2A,184.0,Haderslev,Villa,False,55.2559296279409,9.4981943356448,6100,2.495.000 ,719-02992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25124,Bragesvej 5,185.0,Haderslev,Villa,False,55.240843701014,9.478436783367199,6100,3.698.000 ,719-02961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25125,"Flovt Havevej 44, Flovt",185.0,Haderslev,Fritidshus,False,55.2342652435325,9.694330318553,6100,2.295.000 ,719-02963,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25126,"Hansborggade 28, ST. TV.",146.0,Haderslev,Ejerlejlighed,False,55.2494286560742,9.5006154555224,6100,3.675.000 ,719-02939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25127,"Peblingegyde 20, Diernæs",169.0,Haderslev,Villa,False,55.15851177860021,9.474308835149401,6100,895.000 ,719-02873,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25128,Aabenraavej 10,402.0,Haderslev,Villa,False,55.244435810874904,9.489972524286099,6100,3.450.000 ,719-02902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25129,Sohlsvej 6,157.0,Haderslev,Villa,False,55.246058879343394,9.492142679843699,6100,2.245.000 ,719-02374,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25130,"Bræråvej 29, Langhorn",290.0,Haderslev,Villa,False,55.1827028466951,9.4835951627284,6100,4.250.000 ,719-02793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25131,Klosteret 27,225.0,Haderslev,Villa,False,55.248244945077104,9.4851840829856,6100,4.950.000 ,719-02815,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25132,"Småkærvej 21, Hejsager",65.0,Haderslev,Villa,False,55.217958800191,9.6104039614378,6100,265.000 ,719-02884,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25133,"Øsby Kirkevej 20, Øsby",96.0,Haderslev,Villa,False,55.25048661302179,9.643078859053,6100,498.000 ,719-02899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25134,"Starup Engvej 16, Starup",125.0,Haderslev,Villa,False,55.245162193666296,9.5356319207604,6100,1.185.000 ,719-02871,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25135,Aarøsundvej 64,180.0,Haderslev,Villa,False,55.244885418715704,9.4999814331234,6100,2.245.000 ,719-02877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25136,Ahornvej 52,95.0,Haderslev,Villa,False,55.2513643292684,9.459303071554402,6100,1.485.000 ,719-02820,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25137,Fredstedvej 10B,1062.0,Haderslev,Helårsgrund,False,55.243464504252,9.443560360805,6100,425.000 ,719-02860,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25138,Skinkelsvej 19,143.0,Haderslev,Villa,False,55.239202766998204,9.497312728205301,6100,1.495.000 ,719-02574,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25139,Parkvej 21,167.0,Haderslev,Villa,False,55.2571817882009,9.4956041867335,6100,3.995.000 ,719-02725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25140,Aastrupvej 116A,166.0,Haderslev,Villa,False,55.2541502556178,9.5108971513805,6100,1.995.000 ,719-02744,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25141,"Primulavej 28, Skovbølling",137.0,Haderslev,Villa,False,55.3075723142926,9.5060694960546,6100,1.070.000 ,719-02801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25142,Brombærvej 30,170.0,Haderslev,Villa,False,55.232011204555505,9.4885930198532,6100,1.275.000 ,719-02803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25143,Grundtvigsvej 26,170.0,Haderslev,Villa,False,55.259297278595,9.5127150705213,6100,2.595.000 ,719-02808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25144,"Ribe Landevej 65, st..",79.0,Haderslev,Villalejlighed,False,55.2484965066662,9.4629142277499,6100,795.000 ,719-02791,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25145,"Starup Kirkevej 23, Starup",178.0,Haderslev,Villa,False,55.2465999559366,9.5326196968074,6100,1.598.000 ,719-02777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25146,"Kanekærvej 2, Kelstrup Strand",177.0,Haderslev,Fritidsgrund,False,55.1893535452538,9.5762249906098,6100,445.000 ,719-02754,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25147,Bragesvej 27,203.0,Haderslev,Villa,False,55.241360082769496,9.480965505617599,6100,3.745.000 ,719-02609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25148,Bøgely 18,177.0,Haderslev,Villa,False,55.2504431570194,9.4587539776845,6100,2.095.000 ,719-02704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25149,Egevej 16,771.0,Haderslev,Helårsgrund,False,55.2513920182533,9.4573613530291,6100,1.495.000 ,719-02726,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25150,Kløvervænget 16,194.0,Haderslev,Villa,False,55.240920416876605,9.5033555080506,6100,2.295.000 ,719-02639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25151,"Sønderbro 30, 1.",103.0,Haderslev,Ejerlejlighed,False,55.2456530717187,9.490085959011301,6100,745.000 ,719-02690,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25152,Hiort Lorenzens Vej 16,171.0,Haderslev,Villa,False,55.2587506917749,9.4897900617876,6100,2.995.000 ,719-02688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25153,Hejsager Strandvej 110,61.0,Haderslev,Fritidshus,False,55.199660411692896,9.6038432228024,6100,995.000 ,719-02595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25154,Tjørnebakken 22,247.0,Haderslev,Villa,False,55.254528783397795,9.4522314149661,6100,2.675.000 ,719-02524,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25155,"Borgervænget 12, 1.",93.0,Haderslev,Ejerlejlighed,False,55.2515101780047,9.4833667595507,6100,1.595.000 ,719-02660,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25156,"Gravene 28C, 2.",160.0,Haderslev,Ejerlejlighed,False,55.251020813100794,9.4856706398175,6100,2.295.000 ,719-02655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25157,"Hansborggade 12, 1.",171.0,Haderslev,Ejerlejlighed,False,55.24926226032021,9.499358065374599,6100,4.995.000 ,719-02252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25158,"Kærsmindevej 16, Marstrup",207.0,Haderslev,Villa,False,55.2074158965857,9.441902534333199,6100,1.295.000 ,719-02032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25159,Erlevvej 71,134.0,Haderslev,Villa,False,55.2409352421525,9.471934976654198,6100,2.095.000 ,719-02568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25160,"Slivsø 52, Vilstrup Strand",154.0,Haderslev,Fritidshus,False,55.1584439053603,9.4991881952094,6100,1.595.000 ,719-02544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25161,Øsby Møllebjerg 16,101.0,Haderslev,Villa,False,55.2539968507329,9.638175687631401,6100,735.000 ,719-02570,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25162,"Flovt Strand 42, Flovt Strand",30.0,Haderslev,Fritidshus,False,55.232293110243,9.6991465231174,6100,398.000 ,719-02522,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25163,"Viktoriaparken 3, Kelstrup Strand",299.0,Haderslev,Fritidshus,False,55.1903410865961,9.579574241323401,6100,9.595.000 ,719-02519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25164,"Flovt Strand 46, Flovt Strand",63.0,Haderslev,Fritidshus,False,55.2318314452724,9.6994981878471,6100,625.000 ,719-02026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25165,"Bøgetoft 23, Kelstrup",95.0,Haderslev,Villa,False,55.192814353385,9.5798456187672,6100,875.000 ,719-02483,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25166,"Lille Klokkedal 2, Bramdrup",112.0,Haderslev,Villa,False,55.28878354013639,9.442282342565,6100,995.000 ,719-01905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25167,Eskærhøjvej 60,175.0,Haderslev,Villa,False,55.2369197293594,9.5069899792009,6100,1.645.000 ,719-02507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25168,Zeisesvej 21,249.0,Haderslev,Villa,False,55.241920299377206,9.4945430322049,6100,1.598.000 ,719-02460,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25169,"Hejsager Strandvej 138, Hejsager",60.0,Haderslev,Fritidshus,False,55.1967546727675,9.6018468270429,6100,1.675.000 ,719-01608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25170,"Hajstrupgade 69, Hajstrup",200.0,Haderslev,Landejendom,False,55.25403530744929,9.6753404833559,6100,1.495.000 ,719-02354,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25171,Badstuegade 7,148.0,Haderslev,Rækkehus,False,55.248570252720604,9.489660321055,6100,1.495.000 ,719-02392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25172,"Aastrupvej 5, 1.",156.0,Haderslev,Villalejlighed,False,55.253996800037,9.4910068683331,6100,1.545.000 ,719-02009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25173,Troldhøj 2C,1009.0,Haderslev,Helårsgrund,False,55.259429260720395,9.4672942075823,6100,425.000 ,719-02143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25174,Hejsager Strandvej 21,108.0,Haderslev,Villa,False,55.218059080164394,9.6161266644989,6100,975.000 ,719-01497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25175,"Bøgetoft 4, Kelstrup Strand",78.0,Haderslev,Fritidshus,False,55.192418850994606,9.581321473940699,6100,1.385.000 ,719-02226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25176,"Hoptrup Hovedgade 98, Hoptrup",190.0,Haderslev,Villa,False,55.1700843852836,9.4516637959756,6100,1.350.000 ,719-02215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25177,"Kelstrup Skovvej 10, Kelstrup",108.0,Haderslev,Villa,False,55.190261669729004,9.5762315010376,6100,1.995.000 ,719-02200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25178,Ejsbølvej 23,127.0,Haderslev,Villa,False,55.2538749829183,9.4654442018288,6100,1.395.000 ,719-01926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25179,"Aarø 24, Aarø",120.0,Haderslev,Villa,False,55.2616695412189,9.7356375185835,6100,1.275.000 ,719-02136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25180,Fredstedvænget 42,1307.0,Haderslev,Helårsgrund,False,55.244272298002905,9.4396030860253,6100,398.000 ,719-02089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25181,"Errestedvej 5, Bjerning",81.0,Haderslev,Villa,False,55.2905209412812,9.496363601813,6100,725.000 ,719-02086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25182,"Hejsagerløkke 22, Hejsager",161.0,Haderslev,Villa,False,55.2154965642988,9.6154476967454,6100,1.275.000 ,719-02010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25183,"Slivsø 45, Sdr. Vilstrup",141.0,Haderslev,Fritidshus,False,55.1588090365125,9.4995568780997,6100,1.745.000 ,719-01909,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25184,"Færgevej 19, Aarøsund",217.0,Haderslev,Villa,False,55.2561677450934,9.6971925269233,6100,1.845.000 ,719-01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25185,"Maren Sørensens Vej 21, Kelstrup",134.0,Haderslev,Villa,False,55.199638551111406,9.544249098477101,6100,1.145.000 ,719-01838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25186,"Skovbyvej 8, Hoptrup",137.0,Haderslev,Villa,False,55.1771466860123,9.4523188207371,6100,945.000 ,719-01885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25187,"Kildager 48, Vonsbæk",226.0,Haderslev,Villa,False,55.2906795472871,9.616359707952,6100,550.000 ,719-01758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25188,"Aarø 90D, Aarø",451.0,Haderslev,Helårsgrund,False,55.2604841192905,9.735912541059001,6100,475.000 ,719-01671,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25189,"Søvang 30, Marstrup",150.0,Haderslev,Villa,False,55.209287658590405,9.444591632254198,6100,960.000 ,719-01646,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25190,Thulesvej 35,186.0,Haderslev,Villa,False,55.2631218972707,9.466434456941,6100,1.450.000 ,719-01587,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25191,"Aarø 90C, Aarø",423.0,Haderslev,Helårsgrund,False,,,6100,229.000 ,719-01573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25192,"Aarø 90B, Aarø",509.0,Haderslev,Helårsgrund,False,,,6100,229.000 ,719-01572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25193,"Aarø 90, Aarø",509.0,Haderslev,Helårsgrund,False,55.260527346792,9.7363888595346,6100,239.000 ,719-01553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25194,"Aarø 90A, Aarø",659.0,Haderslev,Helårsgrund,False,,,6100,249.000 ,719-01568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25195,"Aarø 90E, Aarø",738.0,Haderslev,Helårsgrund,False,,,6100,345.000 ,719-01574,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25196,Småkærvej 53,249.0,Haderslev,Villa,False,55.217240638919705,9.6191034346166,6100,1.450.000 ,719-01136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25197,"Pamhule Søpark 18, Marstrup",897.0,Haderslev,Helårsgrund,False,55.2109438371698,9.4335488042951,6100,295.000 ,719-00910,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25198,"Pamhule Søpark 12, Marstrup",838.0,Haderslev,Helårsgrund,False,55.2113197299672,9.4334475954171,6100,325.000 ,719-00907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25199,"Pamhule Søpark 8, Marstrup",1107.0,Haderslev,Helårsgrund,False,55.211146642399704,9.433198353090802,6100,340.000 ,719-00908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25200,"Nørby 32, Marstrup",884.0,Haderslev,Helårsgrund,False,55.211365387950295,9.434859506373698,6100,375.000 ,719-00906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25201,"Christian Jacobsens Vej 20, Flovt Strand",87.0,Haderslev,Fritidshus,False,55.2333877787131,9.6969861523992,6100,1.495.000 ,719-00481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25254,Bag Hjelm 36,94.0,Aabenraa,Villa,True,55.0343458897853,9.386902896166099,6200,1.125.000 ,7020000162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25255,"Barsbæklund 30, Barsmark",78.0,Aabenraa,Fritidshus,True,55.1020617245796,9.52385687772,6200,1.265.000 ,7020000164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25256,Hjarupvej 24,103.0,Aabenraa,Villa,True,55.05328013895001,9.4102289199344,6200,895.000 ,7020000142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25257,"Lyngslet 3, Bodum",77.0,Aabenraa,Villa,True,55.082795140189894,9.4311025064501,6200,450.000 ,7020000171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25258,Hjelmalle 9,137.0,Aabenraa,Villa,False,55.039136853061294,9.407684764886,6200,2.495.000 ,7020000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25259,"Sønderport 36, Aabenraa",134.0,Aabenraa,Villa,False,55.0387810202625,9.4197076753291,6200,1.295.000 ,7020000160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25260,"Skarkær 47, Skarrev",69.0,Aabenraa,Fritidshus,False,55.049170311459,9.4980162412896,6200,995.000 ,702-02188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25261,"Hvilehøjvej 1A, Hostrupskov",269.0,Aabenraa,Villa,False,55.0139435146815,9.456572849883198,6200,2.295.000 ,7020000123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25262,Nygade 47A,187.0,Aabenraa,Ejerlejlighed,False,55.0440146305129,9.4157015419828,6200,2.795.000 ,702-02226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25263,"Stenpolde 8, Loddenhøj",84.0,Aabenraa,Fritidshus,False,55.0985398341275,9.5168366050189,6200,1.095.000 ,7020000125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25264,"Jættevej 8, Hostrupskov",190.0,Aabenraa,Villa,False,55.012528068763196,9.4589571605998,6200,2.195.000 ,7020000103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25265,"Skovby Bygade 16, Løjt Skovby",180.0,Aabenraa,Villa,False,55.072016856329604,9.474281385185302,6200,1.635.000 ,702-02098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25266,"Hasselkær 38, Felsted",196.0,Aabenraa,Villa,False,54.976826928023605,9.510915031207,6200,2.850.000 ,7020000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25267,"Varnæsvej 541, Felstedskov",135.0,Aabenraa,Villa,False,55.0176511042233,9.5110652155136,6200,4.350.000 ,7020000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25268,"Lyngslet 4, Bodum",142.0,Aabenraa,Villa,False,55.0830659755678,9.431055760617,6200,1.395.000 ,7020000117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25269,Bag Hjelm 13,137.0,Aabenraa,Villa,False,55.0339718920158,9.3883365371524,6200,1.275.000 ,7020000106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25270,"Hønborg 4, Løjt Kirkeby",152.0,Aabenraa,Villa,False,55.08555876592461,9.4644349804264,6200,1.695.000 ,7020000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25271,"Årupgade 13, Årup",114.0,Aabenraa,Landejendom,False,55.0047920473566,9.4175078453914,6200,2.695.000 ,7020000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25272,Haderslevvej 62,202.0,Aabenraa,Villa,False,55.0555450567646,9.4280133171029,6200,1.995.000 ,7020000112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25273,"Vingelhøjvej 1, Hostrupskov",115.0,Aabenraa,Villa,False,55.0156646931624,9.4611266071459,6200,1.095.000 ,702-02291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25274,Tøndervej 243,102.0,Aabenraa,Villa,False,55.033305775588,9.3878139415236,6200,965.000 ,7020000089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25275,"Løjt Gildegade 7, Løjt Kirkeby",144.0,Aabenraa,Villa,False,55.0906141950874,9.4606603487162,6200,595.000 ,7020000098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25276,"Solvænget 17, Bovrup",180.0,Aabenraa,Villa,False,54.9976048806038,9.5779829653937,6200,1.165.000 ,7020000092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25277,"Flensborgvej 156, Styrtom",144.0,Aabenraa,Villa,False,55.0225744254031,9.4300973710531,6200,595.000 ,7020000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25278,Tøndervej 150,100.0,Aabenraa,Villa,False,55.0323516665456,9.381248523611,6200,895.000 ,702-02297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25279,"Sønderborgvej 102, Felsted",155.0,Aabenraa,Villa,False,54.9843979798129,9.472924554563301,6200,695.000 ,7020000079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25280,Nygade 62,252.0,Aabenraa,Villa,False,55.043446750490396,9.415551527016401,6200,2.545.000 ,7020000081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25281,"Løjt Bjerggade 10, Løjt Kirkeby",143.0,Aabenraa,Villa,False,55.091677470734,9.461797891865901,6200,1.645.000 ,7020000050,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25282,"Østergade 33C, Felsted",138.0,Aabenraa,Villa,False,54.9808280207296,9.504065170614199,6200,695.000 ,7020000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25283,"Gråstenvej 60, Felsted",189.0,Aabenraa,Landejendom,False,54.9630926474845,9.5038037480895,6200,1.145.000 ,7020000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25284,"Løjt Svinget 1, Løjt Kirkeby",128.0,Aabenraa,Villa,False,55.0945138668254,9.4565464425508,6200,1.395.000 ,702-02333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25285,"Varnæsvej 610, Ny Skovbøl",192.0,Aabenraa,Landejendom,False,55.0161923153942,9.5467157967115,6200,1.895.000 ,7020000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25286,Varnæsvej 135,164.0,Aabenraa,Villa,False,55.0164219759978,9.4578205592661,6200,3.250.000 ,7020000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25287,"Flensborgvej 206, Styrtom",154.0,Aabenraa,Villa,False,55.017801432426005,9.436810320486599,6200,895.000 ,702-02305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25288,Farverhus 95,208.0,Aabenraa,Villa,False,55.0289165678953,9.3989235876934,6200,1.575.000 ,702-02245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25289,"Callesensgade 19, st..",97.0,Aabenraa,Ejerlejlighed,False,55.046130319842604,9.413031048386001,6200,875.000 ,7020000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25290,Lindevang 13,179.0,Aabenraa,Villa,False,55.0593464440676,9.4293545689042,6200,1.750.000 ,702-02337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25291,"Lundtoft Bygade 11, Lundtoft",90.0,Aabenraa,Villa,False,54.9238659633856,9.448656720599,6200,399.000 ,702-02292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25292,Farverhus 162,176.0,Aabenraa,Villa,False,55.029837292799606,9.3928254620422,6200,2.195.000 ,702-02325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25293,Vognmarken 9,129.0,Aabenraa,Villa,False,55.031327090171395,9.4066911861524,6200,1.175.000 ,702-01674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25294,"Kromai 119, Løjt Kirkeby",123.0,Aabenraa,Villa,False,55.0919376408438,9.453710980681,6200,1.095.000 ,702-02276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25295,"Bladknæk 22, Lundsbjerg",110.0,Aabenraa,Villa,False,55.00384144326,9.4417910644137,6200,875.000 ,702-02275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25296,Skedebjergvej 8,191.0,Aabenraa,Villa,False,55.05683258548179,9.3812725866854,6200,1.885.000 ,702-02285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25297,Store Pottergade 3,104.0,Aabenraa,Villa,False,55.044800082488,9.418157222157301,6200,995.000 ,702-02153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25298,"Sønderborgvej 111, Felsted",207.0,Aabenraa,Landejendom,False,54.984322470635206,9.4829713735263,6200,2.695.000 ,702-02194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25299,"Møgelmosevej 49, Felsted",150.0,Aabenraa,Villa,False,54.9794115730359,9.5057069462949,6200,1.145.000 ,702-02132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25300,"Sdr Hostrup Bygade 1, Sdr Hostrup",179.0,Aabenraa,Villa,False,,,6200,1.995.000 ,702-02203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25301,Hjarupvej 10,74.0,Aabenraa,Villa,False,55.05190986095101,9.411116527037999,6200,825.000 ,702-02165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25302,"Gammel Tinglevvej 4, Stubbæk",227.0,Aabenraa,Villa,False,55.00017723393471,9.4359750656718,6200,2.495.000 ,702-02114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25303,"Skarrevvej 310, Skarrev",80.0,Aabenraa,Fritidshus,False,55.0479299051839,9.5031534977164,6200,1.850.000 ,702-02102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25304,Møllepold 28,142.0,Aabenraa,Villa,False,55.05521209439689,9.3898064772831,6200,1.550.000 ,702-02077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25305,"Bovrup Storegade 26, Bovrup",122.0,Aabenraa,Villa,False,54.995423705051,9.584743363725199,6200,345.000 ,702-02100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25306,Fjordløkke 30,136.0,Aabenraa,Villa,False,55.0272066055635,9.4174722025573,6200,2.745.000 ,702-02016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25307,"Nydam 8, Kliplev",237.0,Aabenraa,Villa,False,54.9314796854168,9.413721808505,6200,1.945.000 ,702-01571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25308,"Blåkrogvej 13, Varnæs",295.0,Aabenraa,Villa,False,55.01756538709989,9.5917098049851,6200,2.575.000 ,702-02022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25309,"Søndervej 12, Perbøl",173.0,Aabenraa,Villa,False,54.916377443672,9.3636933992491,6200,1.095.000 ,702-01484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25310,Vægterpladsen 1,282.0,Aabenraa,Villa,False,55.0449415133115,9.4165102466401,6200,3.395.000 ,702-01826,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25311,"Jættevej 11, Hostrupskov",195.0,Aabenraa,Villa,False,55.0130890719284,9.459606443561,6200,1.850.000 ,702-01799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25312,"Stubbæk Nyvej 15, Stubbæk",176.0,Aabenraa,Villa,False,54.99390958345611,9.4274163327767,6200,1.195.000 ,702-01738,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25313,"Ramsherred 51B, 1. tv.",110.0,Aabenraa,Ejerlejlighed,False,55.0450642577784,9.418713840979901,6200,775.000 ,702-01772,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25314,Tøndervej 112,186.0,Aabenraa,Villa,False,55.0338561343618,9.3878330250877,6200,795.000 ,702-01695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25315,"Bjerndrup Bygade 42, Bjerndrup",129.0,Aabenraa,Villa,False,54.929791176778004,9.330693662479698,6200,595.000 ,702-01522,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25316,Farverhus 194,283.0,Aabenraa,Villa,False,55.0298429415532,9.391406724345199,6200,2.695.000 ,702-01258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25317,"Smedegade 4, Varnæs",157.0,Aabenraa,Villa,False,55.0154473657544,9.5693824498668,6200,475.000 ,702-00435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25454,Løkkegårdsvej 120,114.0,Rødekro,Villa,True,55.078048433959296,9.3164313027795,6230,995.000 ,7020000135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
